"PLOCode","PLOName","PLODescription","ProgramCode","AcademicProgram","CollegeCode","DepartmentCode"
"3189.4226.5","3189 - Network and Systems Administration (AAS)-4226.5","Organize and prioritize workload to ensure successful completion of projects. (CIS102DA, CIS124AA, CIS124BA, CIS224, CIS250, CIS266, CIS275DL, CIS290++, BPC171, CIS296++, CIS298++, [FYC])","3189AAS","3189 - Network and Systems Administration (AAS)","08BUSCIS","BUSCIS.CIS"
"3189.4226.6","3189 - Network and Systems Administration (AAS)-4226.6","Integrate social and ethical responsibility in decision-making and actions. (CIS102DA, CIS105, CIS111, CIS250, CIS270, CIS271DB, CIS272DB, CNT202, CNT205, ITS110, BPC171, CIS290++, CIS296++, CIS298++, ITS120, CRE101, [HU], [SB])","3189AAS","3189 - Network and Systems Administration (AAS)","08BUSCIS","BUSCIS.CIS"
"3189.4226.7","3189 - Network and Systems Administration (AAS)-4226.7","Continuously adapt to an ever-changing technical environment. (BPC170, BPC270, BPC274, CIS102DA, CIS105, CIS111, CIS121AH, CIS124AA, CIS124BA, CIS126DL, CIS126RH, CIS156, CIS189, CIS190, CIS197, CIS198, CIS200, CIS224, CIS238DL, CIS238RH, CIS239DL, CIS240, CIS240DL, CIS240RH, CIS250, CIS266, CIS270, CIS271DB, CIS271DL, CIS271RH, CIS272DB, CIS275DL, CIS290++, CNT150AB, CNT160AB, CNT202, CNT205, CNT240, CNT240AA, CNT240AB, CNT250, CNT250AA, CNT250AB, ITS110, ITS120, BPC171, CIS296++, CIS298++, MST160, MST260, CLD110, CLD120)","3189AAS","3189 - Network and Systems Administration (AAS)","08BUSCIS","BUSCIS.CIS"
"3189.4226.8","3189 - Network and Systems Administration (AAS)-4226.8","Demonstrate professional behaviors and abide by norms and conventions appropriate to the field. (CIS102DA, CIS105, CIS111, CIS250, CIS270, CIS271DB, CIS272DB, CIS290++, CNT202, CNT205, CNT171, ITS110, BPC171, CIS296++, CIS298++, ITS120, CRE101, [HU], [SB])","3189AAS","3189 - Network and Systems Administration (AAS)","08BUSCIS","BUSCIS.CIS"
"3189.4226.9","3189 - Network and Systems Administration (AAS)-4226.9","Apply critical thinking skills and problem-solving to configure and troubleshoot systems to ensure proper operation. (BPC170, BPC270, BPC274, CIS102DA, CIS105, CIS121AH, CIS126DL, CIS126RH, CIS156, CIS190, CIS197, CIS198, CIS200, CIS238DL, CIS238RH, CIS239DL, CIS240, CIS240DL, CIS240RH, CIS266, CIS270, CIS271DB, CIS271DL, CIS271RH, CIS272DB, CIS275DL, CIS290++, CNT150AB, CNT160AB, CNT202, CNT205, CNT240, CNT240AA, CNT240AB, CNT250, CNT250AA, CNT250AB, ITS110, MST160, CLD110, BPC171, CIS296++, CIS298++, CRE101, [MA], [SG], [SQ])","3189AAS","3189 - Network and Systems Administration (AAS)","08BUSCIS","BUSCIS.CIS"
"3189.4226.10","3189 - Network and Systems Administration (AAS)-4226.10","Utilize effective written and oral communication with multiple stakeholders in formal and informal settings. (CIS102DA, CIS124AA, CIS124BA, CIS224, CIS250, CIS290++, CIS296++, CIS298++, CRE101, (COM), [FYC])","3189AAS","3189 - Network and Systems Administration (AAS)","08BUSCIS","BUSCIS.CIS"
"3189.4226.11","3189 - Network and Systems Administration (AAS)-4226.11","Demonstrate the ability to work with others individually and as a team. (CIS102DA, CIS124AA, CIS124BA, CIS224, CIS250, CIS290++, BPC171, CIS296++, CIS298++, CRE101, (COM), [SB])","3189AAS","3189 - Network and Systems Administration (AAS)","08BUSCIS","BUSCIS.CIS"
"3189.4226.12","3189 - Network and Systems Administration (AAS)-4226.12","Create and maintain proper documentation of design, implementation, validation, workflow processes, troubleshooting, and revisions of systems. (BPC274, CIS102DA, CIS121AH, CIS124AA, CIS124BA, CIS156, CIS224, CIS239DL, CIS240, CIS250, CIS266, CIS275DL, CIS290++, CNT140AB, CNT150AB, CNT160AB, CNT240, CNT240AA, CNT240AB, CNT250, CNT250AA, CNT250AB, BPC171","3189AAS","3189 - Network and Systems Administration (AAS)","08BUSCIS","BUSCIS.CIS"
"3195.4226.1","3195 - Photography (AAS)-4226.1","Demonstrate knowledge of principles of design, aesthetics, and visual communication. (ADA/ART169, ADA/ART177, ARH101, ARH102, ARH115, ART100, ART111, ART112, ART113, ART116, ART131, ART132, ART133, ART134, ART137, ART142, ART143, ART178, ART181, ART234, ART250, ART255, ART255AB, ART270, ART274, ART290AC, ART290EC, ART290MC, ART295DA, ART295DB, ART295DC, FMP108, (COM), (CRE), [MA])","3195AAS","3195 - Photography (AAS)","08COMFA","COMFA.ART"
"3195.4226.2","3195 - Photography (AAS)-4226.2","Create original still and time based images. (ART100, ART131, ART132, ART142, ART143, ADA/ART169, ADA/ART177, ART133, ART134, ART137, ART138, ART139, ART140, ART178, ART237, ART270, ART274, ART290AC, ART290EC, ART290MC, ART295DA, ART295DB, ART295DC, ART297AA, ART297AB, FMP108)","3195AAS","3195 - Photography (AAS)","08COMFA","COMFA.ART"
"3195.4226.3","3195 - Photography (AAS)-4226.3","Demonstrate a thorough knowledge and application of camera techniques. (ART131, ART132, ART142, ART143, ART133, ART134, ART138, ART139, ART140, ART234, ART237, ART290AC, ART290EC, ART290MC, ART295DA, ART295DB, ART295DC, ART297AA, ART297AB, FMP108, (COM), (CRE), [MA], [SQ])","3195AAS","3195 - Photography (AAS)","08COMFA","COMFA.ART"
"3195.4226.4","3195 - Photography (AAS)-4226.4","Demonstrate a thorough and adaptable knowledge of software used in digital imaging and contemporary media. (ART100, ART131, ART142, ART143, ADA/ART169, ADA/ART177, ART138, ART139, ART140, ART178, ART181, ART234, ART237, ART270, ART274, ART290AC, ART290EC, ART290MC, ART295DA, ART295DB, ART295DC, ART297AA, ART297AB, FMP108, (COM), (CRE))","3195AAS","3195 - Photography (AAS)","08COMFA","COMFA.ART"
"3195.4226.5","3195 - Photography (AAS)-4226.5","Create digital imaging workflow. (ART100, ART131, ART142, ART143, ADA/ART169, ADA/ART177, ART138, ART139, ART140, ART178, ART181, ART234, ART237, ART270, ART274, ART290AC, ART290EC, ART290MC, ART295DA, ART295DB, ART295DC, ART297AA, ART297AB, FMP108)","3195AAS","3195 - Photography (AAS)","08COMFA","COMFA.ART"
"3195.4226.6","3195 - Photography (AAS)-4226.6","Utilize effective lighting techniques in natural, artificial and mixed lighting in photography (e.g., product, still life and portraiture). (ART132, ART142, ART143, ART133, ART138, ART139, ART140, ART234, ART237, ART290AC, ART290EC, ART290MC, ART295DA, ART295DB, ART295DC, ART297AA, ART297AB, [SG], [SQ])","3195AAS","3195 - Photography (AAS)","08COMFA","COMFA.ART"
"3195.4226.7","3195 - Photography (AAS)-4226.7","Analyze trends and influences in contemporary and historical photography. (ARH101, ARH102, ARH115, ART131, ART132, ART133, ART134, ART137, ART138, ART142, ART143, ART234, ART250, (CRE), [FYC], [SB])","3195AAS","3195 - Photography (AAS)","08COMFA","COMFA.ART"
"3195.4226.8","3195 - Photography (AAS)-4226.8","Critically evaluate photographic works. (ARH101, ARH102, ARH115, ART131, ART132, ART142, ART143, ART255, ART133, ART134, ART137, ART290AC, ART290EC, ART290MC, ART295DA, ART295DB, ART295DC, ART297AA, ART297AB, (COM), (CRE), [FYC], [SB])","3195AAS","3195 - Photography (AAS)","08COMFA","COMFA.ART"
"3195.4226.9","3195 - Photography (AAS)-4226.9","Develop a professional body of work and appropriate support material to showcase personal vision and technical skills. (ART132, ART143, ADA/ART169, ADA/ART177, ART133, ART134, ART138, ART139, ART140, ART178, ART181, ART234, ART237, ART250, ART255, ART255AB, ART270, ART274, ART290AC, ART290EC, ART290MC, ART295DA, ART295DB, ART295DC, ART297AA, ART297AB, FMP108, (COM), [FYC], [MA], [SB])","3195AAS","3195 - Photography (AAS)","08COMFA","COMFA.ART"
"3195.4226.10","3195 - Photography (AAS)-4226.10","Identify professional practices in diverse settings (e.g., communication, time management, pricing, and legal and ethical considerations). (ADA/ART169, ADA/ART177, ART132, ART133, ART134, ART138, ART139, ART140, ART143, ART178, ART181, ART237, ART255, ART255AB, ART270, ART274, ART297AA, ART297AB, MKT110, MKT263, MKT271, SBS200, SBS204, (COM), [FYC], [MA])","3195AAS","3195 - Photography (AAS)","08COMFA","COMFA.ART"
"3195.4226.11","3195 - Photography (AAS)-4226.11","Use visual, verbal, and written communication skills to interact with diverse audiences. (ARH101, ARH102, ARH115, ART131, ART132, ART142, ART143, ART133, ART134, ART137, ART138, ART139, ART234, ART255, ART290AC, ART290EC, ART290MC, ART295DA, ART295DB, ART295DC, ART297AA, ART297AB, (COM), (CRE), [FYC], [SB])","3195AAS","3195 - Photography (AAS)","08COMFA","COMFA.ART"
"3195.4226.12","3195 - Photography (AAS)-4226.12","Apply historical, cultural, and social contextual perspectives to evaluate a body of work. (ARH101, ARH102, ARH115, ART131, ART132, ART133, ART134, ART137, ART138, ART139, ART142, ART143, ART234, ART250, (COM), (CRE), [FYC], [SB])","3195AAS","3195 - Photography (AAS)","08COMFA","COMFA.ART"
"3195.4226.13","3195 - Photography (AAS)-4226.13","Apply relevant knowledge, skills, and habits of mind to seek career opportunities in the field. (FYE101, FYE103)","3195AAS","3195 - Photography (AAS)","08COMFA","COMFA.ART"
"3196.4226.1","3196 - Information Technology (AAS)-4226.1","Apply current technical concepts and practices in the core information technologies to effectively integrate IT-based solutions into the business environment. (BPC/OAS111AA, BPC170, BPC270, CIS102DA, CIS105, CIS117DM, CIS119DO, CIS119DP, CIS120DF, CIS121AH, CIS126DL, CIS126RH, CIS133DA, CIS136, CIS150++, CIS154, CIS156, CIS159, CIS162++, CIS163AA, CIS164AB, CIS165++, CIS166++, CIS190, CIS217AM, CIS235, CIS238RH, CIS240RH, CIS276DA, CIS276DB, CIS113DE, CIS114DE, CIS118DB, CIS224, CIS225AB, CIS233DA, CIS250, CIS270, CIS271DB, CIS272DB, CNT140AB, ITS110, MST150++, MST155DC, MST157DC, MST158DC, [MA])","3196AAS","3196 - Information Technology (AAS)","08BUSCIS","BUSCIS.CIS"
"3196.4226.2","3196 - Information Technology (AAS)-4226.2","Analyze business requirements to identify and define appropriate technology solutions. (BPC/OAS111AA, BPC170, BPC270, CIS102DA, CIS105, CIS113DE, CIS114DE, CIS117DM, CIS118DB, CIS119DO, CIS119DP, CIS120DF, CIS121AH, CIS126DL, CIS126RH, CIS133DA, CIS136, CIS150++, CIS154, CIS156, CIS159, CIS162++, CIS163AA, CIS164AB, CIS165++, CIS166++, CIS190, CIS217AM, CIS225AB, CIS233DA CIS235, CIS270, CIS271DB, CIS272DB, CIS276DA, CIS276DB, CIS224, CIS238RH, CIS240RH, CIS250, CNT140AB, GBS151, ITS110, MST150++, MST155DC, MST157DC, MST158DC, [MA], [SG], [SQ])","3196AAS","3196 - Information Technology (AAS)","08BUSCIS","BUSCIS.CIS"
"3196.4226.3","3196 - Information Technology (AAS)-4226.3","Demonstrate effective written, oral, visual, and interpersonal communication skills with multiple stakeholders. (BPC/OAS111AA, BPC170, BPC270, CIS102DA, CIS105, CIS113DE, CIS114DE, CIS117DM, CIS118DB, CIS119DO, CIS119DP, CIS120DF, CIS126DL, CIS126RH, CIS133DA, CIS136, CIS150++, CIS154, CIS156, CIS159, CIS162++, CIS163AA, CIS164AB, CIS165++, CIS166++, CIS190, CIS217AM, CIS225AB, CIS235, CIS276DA, CIS276DB, CIS224, CIS233DA, CIS250, CNT140AB, GBS151, MST150++, [FYC], (COM) [HU], [MA], [SB], [SG], [SQ])","3196AAS","3196 - Information Technology (AAS)","08BUSCIS","BUSCIS.CIS"
"3196.4226.4","3196 - Information Technology (AAS)-4226.4","Collaborate in a culturally responsive manner in a team environment. (CIS102DA, CIS118DB, CIS154, CIS224, CIS250, GBS151, [FYC], (COM), (CRE), [HU], [SB])","3196AAS","3196 - Information Technology (AAS)","08BUSCIS","BUSCIS.CIS"
"3196.4226.5","3196 - Information Technology (AAS)-4226.5","Integrate professional, social, and ethical responsibility in decision-making and actions. (BPC170, BPC270, CIS102DA, CIS105, CIS111, CIS133DA, CIS233DA CIS235, CIS250, GBS151, ITS120, ITS240, [HU], [SB])","3196AAS","3196 - Information Technology (AAS)","08BUSCIS","BUSCIS.CIS"
"3196.4226.6","3196 - Information Technology (AAS)-4226.6","Manage ongoing documentation of information systems according to business standards. (CIS102DA, CIS111, CIS117DM, CIS118DB, CIS119DO, CIS119DP, CIS133DA, CIS136, CIS150++, CIS154, CIS156, CIS159, CIS162++, CIS163AA, CIS164AB, CIS165++, CIS166++, CIS190, CIS217AM, CIS225AB, CIS238RH, CIS240RH, CIS276DA, CIS276DB, CIS233DA, CIS224, CIS250, CNT140AB, GBS151, ITS120, ITS240)","3196AAS","3196 - Information Technology (AAS)","08BUSCIS","BUSCIS.CIS"
"3196.4226.7","3196 - Information Technology (AAS)-4226.7","Apply project management skills to ensure successful completion of projects. (CIS102DA, CIS118DB, CIS120DF, CIS136, CIS224, CIS233DA, CIS250, GBS151)","3196AAS","3196 - Information Technology (AAS)","08BUSCIS","BUSCIS.CIS"
"3196.4226.8","3196 - Information Technology (AAS)-4226.8","Apply relevant knowledge, skills, and habits of mind to seek career opportunities in the field. (FYE101, FYE103)","3196AAS","3196 - Information Technology (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.1","3197 - Cybersecurity (AAS)-4226.1","Explain the fundamental components, concepts, and application of cybersecurity principles. (BPC170, BPC270, BPC274, CIS105, CIS126DL, CIS126RH, CIS143, CIS156, CIS162++, CIS201, CIS202, CIS203, CIS227, CIS238DL, CIS238RH, CIS239DL, CIS240DL, CIS240RH, CIS250, CIS262++, CIS270, CIS271DB, CIS271DL, CIS271RH, CIS272DB, CIS275DL, ITS110, ITS291, ITS292, MST150++, MST160, CLD110 [FYC])","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.2","3197 - Cybersecurity (AAS)-4226.2","Describe cyber defense tools, methods, and components. (CIS156, CIS190, CIS270, CIS271DB, CIS272DB, CNT140AB, CNT150AB, ITS110, ITS240, ITS291, ITS292, (COM), (CRE))","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.3","3197 - Cybersecurity (AAS)-4226.3","Apply cyber defense methods to prepare a system to repel attacks. (CIS156, CIS201, CIS202, CIS203, CIS270, CIS271DB, CIS272DB, CIS290AC, CIS298AC, CNT150AB, CNT160AB, CNT202, CNT205, ITS110, ITS240, [SG], [SQ])","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.4","3197 - Cybersecurity (AAS)-4226.4","Analyze common security failures and identify specific design principles that have been violated. (BPC274, CIS121AH, CIS201, CIS202, CIS203, CIS270, CIS271DB, CIS272DB, CNT202, CNT205, ITS110, MST260, CLD120)","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.5","3197 - Cybersecurity (AAS)-4226.5","Understand the interaction between security and system usability and the importance for minimizing the effects of security mechanisms. (BPC274, CIS201, CIS202, CIS203, CIS270, CIS271DB, CIS272DB, CNT160AB, ITS110, MST260, CLD120)","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.6","3197 - Cybersecurity (AAS)-4226.6","Apply appropriate protocols, tools, and techniques to maximize security in the network environment. (CIS119DO, CIS156, CIS162++, CIS190, CIS201, CIS202, CIS203, CIS227, CIS262++. CIS270, CIS271DB, CIS272DB, CIS276++, CIS290AC, CIS298AC, CNT140AB, CNT150AB, CNT160AB, CNT202, CNT205, ITS110, ITS240, ITS291, ITS292, [MA], [SG], [SQ])","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.7","3197 - Cybersecurity (AAS)-4226.7","Describe the fundamental concepts, technologies, components, vulnerabilities, and issues related to networks. (BPC170, CIS105, CIS119DO, CIS143, CIS190, CIS201, CIS202, CIS238DL, CIS238RH, CIS270, CIS271DB, CIS272DB, CIS276++, CNT140AB, CNT150AB, CNT160AB, CNT202, CNT205, ITS110, (COM))","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.8","3197 - Cybersecurity (AAS)-4226.8","Identify and describe basic security issues of operating systems. (BPC270, BPC274, CIS105, CIS121AH, CIS126DL, CIS126RH, CIS201, CIS238DL, CIS238RH,, CIS239DL, CIS240DL, CIS240RH, CIS270, CIS271DB, CIS271DL, CIS271RH, CIS272DB, CIS275DL, ITS110, ITS240, MST150++, MST160, CLD110)","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.9","3197 - Cybersecurity (AAS)-4226.9","Identify perpetrators, their resources, and their motivations in cyberspace. (BPC274, CIS111, CIS143, CIS203, CIS270, CIS271DB, CIS272DB, CIS290AC, CIS298AC, ITS110, ITS120, ITS240, MST160, CLD110)","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.10","3197 - Cybersecurity (AAS)-4226.10","Compare and contrast offensive and defensive resources used in cybersecurity ecosystems/environment. (CIS201, CIS202, CIS203, CIS270, CIS271DB, CIS272DB, CIS290AC, CIS298AC, ITS110, ITS240, (COM), (CRE), [FYC])","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.11","3197 - Cybersecurity (AAS)-4226.11","Delineate differences between the moral, behavioral, ethical, and legal ramifications found in the cybersecurity world. (CIS105, CIS111, CIS143, CIS156, ITS120, (CRE) [FYC], [HU], [SB], [SG], [SQ])","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.12","3197 - Cybersecurity (AAS)-4226.12","Apply knowledge of regulatory and legal requirements to ensure compliance. (CIS111, CIS143, CIS202, CIS290AC, CIS298AC, ITS120, ITS240, (CRE), [FYC])","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.13","3197 - Cybersecurity (AAS)-4226.13","Apply risk analysis methodologies to identify potential vulnerabilities, associated impacts, and recommend appropriate responses. (BPC274, CIS111, CIS143, CIS121AH, CIS201, CIS202, CIS203, CIS238DL, CIS238RH, CIS270, CIS271DB, CIS272DB, CIS290AC, CIS298AC, CNT150AB, CNT160AB, CNT202, CNT205, ITS110, ITS120, ITS240, ITS291, ITS292, MST160, MST260, CLD110, CLD120 [MA])","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.14","3197 - Cybersecurity (AAS)-4226.14","Communicate professionally in formal and informal situations to diverse audiences. (BPC270, CIS105, CIS111, CIS143, CIS156, CIS201, CIS202, CIS203, CIS270, CIS271DB, CIS271DL, CIS271RH, CIS272DB, CIS275DL, CIS290AC, CIS298AC, ITS110, ITS120, ITS240, (COM), [FYC], [HU], [SB], [SG], [SQ])","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.15","3197 - Cybersecurity (AAS)-4226.15","Collaborate with others to solve cybersecurity problems. (CIS105, CIS111, CIS143, CIS201, CIS202, CIS203, CIS270, CIS271DB, CIS271DL, CIS271RH, CIS272DB, CIS275DL, CIS290AC, CIS298AC, ITS110, ITS120, ITS240, ITS291, ITS292, (COM), [SG], [SQ])","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3197.4226.16","3197 - Cybersecurity (AAS)-4226.16","Apply relevant knowledge, skills, and habits of mind to seek career opportunities in the field. (FYE101, FYE103)","3197AAS","3197 - Cybersecurity (AAS)","08BUSCIS","BUSCIS.CIS"
"3203.4226.1","3203 - Illustration and Sequential Art (AAS)-4226.1","Create images to project specifications demonstrating professional competence in research, planning, production, and presentation. (ADA/ART169, ADA/ART177, ADA/ART289, ART100, ART111, ART113, ART114, ART116, ART178, ART280AA, ART280AB, ART280AC, ADA/ART/MMT184, ART/MMT185, ART117, ART118, ART119, ART120, ART122, ART165, ART166, ART167, ART168, ART219, ART221, ART263, (COM), (CRE), [FYC], [MA], [SB], [SG], [SQ])","3203AAS","3203 - Illustration and Sequential Art (AAS)","08COMFA","COMFA.ART"
"3203.4226.2","3203 - Illustration and Sequential Art (AAS)-4226.2","Apply critical thinking skills, the creative process, and historical and visual literacy to solve complex visual, technical, and conceptual problems. (ADA/ART169, ADA/ART177, ADA/ART289, ART100, ART111, ART113, ART114, ART116, ART178, ART280AA, ART280AB, ART280AC, ADA/ART/MMT184, ART/MMT185, ART117, ART118, ART119, ART120, ART122, ART165, ART166, ART167, ART168, ART219, ART221, ART263, CRW172, CRW176, CRW190, ARH101, ARH102, (CRE), [FYC], [SB], [SG], [SQ])","3203AAS","3203 - Illustration and Sequential Art (AAS)","08COMFA","COMFA.ART"
"3203.4226.3","3203 - Illustration and Sequential Art (AAS)-4226.3","Critique images to evaluate their effectiveness. (ADA/ART169, ADA/ART177, ADA/ART289, ART100, ART111, ART113, ART114, ART116, ART178, ART280AA, ART280AB, ART280AC, ADA/ART/MMT184, ART117, ART118, ART119, ART120, ART122, ART165, ART166, ART167, ART168, ART219, ART255, ART263, ARH101, ARH102, (CRE), [FYC])","3203AAS","3203 - Illustration and Sequential Art (AAS)","08COMFA","COMFA.ART"
"3203.4226.4","3203 - Illustration and Sequential Art (AAS)-4226.4","Research and apply industry standard tools to develop effective images and workflows. (ADA/ART169, ADA/ART177, ADA/ART289, ART113, ART114, ART178, ART280AA, ART280AB, ART280AC, ADA/ART/MMT184, ART/MMT185, ART119, ART120, ART219, ART220, ART221, (CRE), [FYC], [MA], [SB], [SG], [SQ])","3203AAS","3203 - Illustration and Sequential Art (AAS)","08COMFA","COMFA.ART"
"3203.4226.5","3203 - Illustration and Sequential Art (AAS)-4226.5","Demonstrate professional and collaborative practices, such as communication, time management, organization, and legal and ethical considerations, in diverse settings. (ADA/ART169, ADA/ART177, ADA/ART169, ART100, ART178, ART280AA, ART280AB, ART280AC, ADA/ART/MMT184, ADA/ART248, ART/MMT185, ART220, ART255, CRW172, CRW176, CRW190, ARH101, ARH102, (CRE), (COM), [FYC], [SB], [SG], [SQ])","3203AAS","3203 - Illustration and Sequential Art (AAS)","08COMFA","COMFA.ART"
"3203.4226.6","3203 - Illustration and Sequential Art (AAS)-4226.6","Collaborate to create visual ideas that recognize diverse opinions and cultural and individual differences.(ADA/ART177, ADA/ART289, ART100, ART111, ART113, ART114, ART116, ART178, ART280AA, ART280AB, ART280AC, ADA/ART169, ADA/ART/MMT184, ART/MMT185, ART117, ART118, ART119, ART120, ART122, ART165, ART166, ART167, ART168, ART219, ART220, ART221, ART263, CRW172, CRW176, CRW190, ARH101, ARH102, (CRE), (COM), [FYC], [SB])","3203AAS","3203 - Illustration and Sequential Art (AAS)","08COMFA","COMFA.ART"
"3203.4226.7","3203 - Illustration and Sequential Art (AAS)-4226.7","Create a collection of works (e.g. capstone, internships, and/or portfolio) that reflect professional competency. (ADA/ART177, ADA/ART289, ART111, ART113, ART114, ART116, ART178, ART280AA, ART280AB, ART280AC, ADA/ART169, ADA/ART/MMT184, ADA/ART248, ART/MMT185, ART117, ART118, ART119, ART120, ART122, ART165, ART166, ART167, ART168, ART219, ART220, ART221, ART255, ART263, CRW172, CRW176, CRW190, [FYC], [MA], [SG], [SQ])","3203AAS","3203 - Illustration and Sequential Art (AAS)","08COMFA","COMFA.ART"
"3203.4226.8","3203 - Illustration and Sequential Art (AAS)-4226.8","Apply relevant knowledge, skills, and habits of mind to seek career opportunities in the field. (FYE101, FYE103)","3203AAS","3203 - Illustration and Sequential Art (AAS)","08COMFA","COMFA.ART"
"3665.4226.1","3665 - Aircraft Maintenance Technology-Powerplant (AAS)-4226.1","Utilize inspection and diagnostic techniques to maintain aircraft engines. (AMT124, AMT126, AMT128, AMT272, AMT263, AMT264, [MA], [SQ])","3665AAS","3665 - Aircraft Maintenance Technology-Powerplant (AAS)","08AVATION","AVATION.APLDTECH"
"3665.4226.2","3665 - Aircraft Maintenance Technology-Powerplant (AAS)-4226.2","Service aircraft engines to industry and regulatory standards. (AMT124, AMT263, AMT264, AMT266, AMT268, AMT270, AMT272)","3665AAS","3665 - Aircraft Maintenance Technology-Powerplant (AAS)","08AVATION","AVATION.APLDTECH"
"3665.4226.3","3665 - Aircraft Maintenance Technology-Powerplant (AAS)-4226.3","Repair aircraft engines to industry and regulatory standards. (AMT128, AMT263, AMT264, AMT266, AMT268, AMT270, AMT272)","3665AAS","3665 - Aircraft Maintenance Technology-Powerplant (AAS)","08AVATION","AVATION.APLDTECH"
"3665.4226.4","3665 - Aircraft Maintenance Technology-Powerplant (AAS)-4226.4","Overhaul aircraft engines to industry and regulatory standards. (AMT124, AMT128, AMT263, AMT264)","3665AAS","3665 - Aircraft Maintenance Technology-Powerplant (AAS)","08AVATION","AVATION.APLDTECH"
"3665.4226.5","3665 - Aircraft Maintenance Technology-Powerplant (AAS)-4226.5","Practice industry and regulatory standards required professional and ethical behavior. (AMT124, AMT126, AMT128, AMT263, AMT264, AMT266, AMT268, AMT270, AMT272)","3665AAS","3665 - Aircraft Maintenance Technology-Powerplant (AAS)","08AVATION","AVATION.APLDTECH"
"3665.4226.6","3665 - Aircraft Maintenance Technology-Powerplant (AAS)-4226.6","Mitigate human factors risk in aircraft maintenance operations. (AMT124, AMT263, AMT264, AMT266, AMT268, AMT270, AMT272)","3665AAS","3665 - Aircraft Maintenance Technology-Powerplant (AAS)","08AVATION","AVATION.APLDTECH"
"3665.4226.7","3665 - Aircraft Maintenance Technology-Powerplant (AAS)-4226.7","Employ common safety practices when working on and around aircraft and related support equipment. (AMT124, AMT126, AMT128, AMT263, AMT264, AMT266, AMT268, AMT270, AMT272)","3665AAS","3665 - Aircraft Maintenance Technology-Powerplant (AAS)","08AVATION","AVATION.APLDTECH"
"3665.4226.8","3665 - Aircraft Maintenance Technology-Powerplant (AAS)-4226.8","Demonstrate effective oral and written communication skills specific to aviation maintenance concepts and technical processes. (AMT124, AMT263, AMT264, AMT266, AMT268, AMT270, AMT272, [FYC], (COM), (CRE))","3665AAS","3665 - Aircraft Maintenance Technology-Powerplant (AAS)","08AVATION","AVATION.APLDTECH"
"3665.4226.9","3665 - Aircraft Maintenance Technology-Powerplant (AAS)-4226.9","Critically analyze a wide range of problems in the aviation industry to generate applicable solutions. ([FYC], (CRE), [MA], [HU], [SB], [SQ])","3665AAS","3665 - Aircraft Maintenance Technology-Powerplant (AAS)","08AVATION","AVATION.APLDTECH"
"3665.4226.10","3665 - Aircraft Maintenance Technology-Powerplant (AAS)-4226.10","Prepare for powerplant written, oral, and practical exams. (AMT124, AMT126, AMT128, AMT263, AMT264, AMT266, AMT268, AMT270, AMT272)","3665AAS","3665 - Aircraft Maintenance Technology-Powerplant (AAS)","08AVATION","AVATION.APLDTECH"
"3665.4226.11","3665 - Aircraft Maintenance Technology-Powerplant (AAS)-4226.11","Apply relevant knowledge, skills, and habits of mind to seek career opportunities in the field. (FYE101, FYE103)","3665AAS","3665 - Aircraft Maintenance Technology-Powerplant (AAS)","08AVATION","AVATION.APLDTECH"
"3668.4226.1","3668 - Aircraft Maintenance Technology-Airframe (AAS)-4226.1","Utilize inspection and diagnostic techniques to maintain aircraft. (AMT124, AMT126, AMT128, AMT228, AMT230, [MA], [SQ])","3668AAS","3668 - Aircraft Maintenance Technology-Airframe (AAS)","08AVATION","AVATION.APLDTECH"
"3668.4226.2","3668 - Aircraft Maintenance Technology-Airframe (AAS)-4226.2","Service aircraft to industry and regulatory standards. (AMT124, AMT126, AMT128, AMT220, AMT222, AMT224, AMT226, AMT228, AMT230)","3668AAS","3668 - Aircraft Maintenance Technology-Airframe (AAS)","08AVATION","AVATION.APLDTECH"
